Location,Area,Type,BHK,Sqft,Furnish,Transaction,Status,PriceperSqrt,Price,Price_Lac,Area_Sqft,Price/Sqft
Chennai,Perambur,Flat,2 BHK,1100 sqft,Unfurnish,New Property,Possession by Dec '21,₹ 8182 per sqft,₹ 90 Lac,90.0,1100.0,8182.0
Chennai,Thirumazhisai,Flat,1 BHK,544 sqft,Unfurnish,New Property,Possession by Dec '23,₹ 5450 per sqft,₹ 29.7 Lac,29.7,544.0,5450.0
Chennai,Perumbakkam,Flat,2 BHK,796 sqft,Furnish,New Property,Possession by Sep '23,₹ 3599 per sqft,₹ 28.6 Lac,28.6,796.0,3599.0
Chennai,Thalambur,Flat,2 BHK,1026 sqft,Unfurnish,New Property,Possession by Mar '24,₹ 4724 per sqft,₹ 48.5 Lac,48.5,1026.0,4724.0
Chennai,Perungalathur Chennai Bypass Road,Flat,2 BHK,903 sqft,Unfurnish,New Property,Possession by Jul '22,₹ 4877 per sqft,₹ 44 Lac,44.0,903.0,4877.0
Chennai,Sembakkam,Flat,3 BHK,1550 sqft,Unfurnish,New Property,Possession by Jul '22,₹ 6749 per sqft,₹ 1.04 Cr,104.0,1550.0,6749.0
Chennai,G S T Road,Flat,2 BHK,1455 sqft,Unfurnish,New Property,Possession by Dec '21,₹ 5407 per sqft,₹ 78.7 Lac,78.7,1455.0,5407.0
Chennai,Tambaram East,Flat,2 BHK,1004 sqft,Unfurnish,New Property,Possession by Sep '22,₹ 7100 per sqft,₹ 71.3 Lac,71.3,1004.0,7100.0
Chennai,Medavakkam,Flat,3 BHK,1280 sqft,Unfurnish,New Property,Possession by Nov '22,₹ 7049 per sqft,₹ 90.2 Lac,90.2,1280.0,7049.0
Chennai,Padur Old Mahabalipuram Road,Flat,3 BHK,918 sqft,Unfurnish,New Property,Possession by Mar '23,₹ 4855 per sqft,₹ 44.6 Lac,44.6,918.0,4855.0
Chennai,Sholinganallur,Flat,2 BHK,1064 sqft,Unfurnish,New Property,Possession by Sep '24,₹ 6042 per sqft,₹ 64.3 Lac,64.3,1064.0,6042.0
Chennai,Thoraipakkam,Flat,2 BHK,1291 sqft,Unfurnish,New Property,Ready to Move,₹ 8000 per sqft,₹ 1.03 Cr,103.0,1291.0,8000.0
Chennai,Vanagaram,Flat,3 BHK,1528 sqft,Unfurnish,New Property,Possession by Feb '24,₹ 5999 per sqft,₹ 91.7 Lac,91.7,1528.0,5999.0
Chennai,Kottivakkam,Flat,3 BHK,1271 sqft,Unfurnish,New Property,Possession by Dec '21,₹ 7999 per sqft,₹ 1.01 Cr,101.0,1271.0,7999.0
Chennai,Siruseri,Flat,3 BHK,1685 sqft,Unfurnish,New Property,Ready to Move,₹ 5045 per sqft,₹ 85 Lac,85.0,1685.0,5045.0
Chennai,Siruseri,Flat,1 BHK,495 sqft,Unfurnish,New Property,Possession by Dec '22,₹ 4433 per sqft,₹ 21.9 Lac,21.9,495.0,4433.0
Chennai,Thoraipakkam,Flat,2 BHK,1452 sqft,Unfurnish,New Property,Ready to Move,₹ 5599 per sqft,₹ 81.3 Lac,81.3,1452.0,5599.0
Chennai,Mogappair West,Flat,2 BHK,1288 sqft,Unfurnish,New Property,Possession by Dec '24,₹ 6910 per sqft,₹ 89 Lac,89.0,1288.0,6910.0
Chennai,Saligramam,Flat,2 BHK,945 sqft,Unfurnish,New Property,Possession by Jun '22,₹ 9999 per sqft,₹ 94.5 Lac,94.5,945.0,9999.0
Chennai,Nerkundram Koyambedu,Flat,2 BHK,1241 sqft,Unfurnish,New Property,Possession by Apr '22,₹ 6499 per sqft,₹ 80.7 Lac,80.7,1241.0,6499.0
Chennai,Porur,Flat,3 BHK,1268 sqft,Unfurnish,New Property,Possession by Dec '23,₹ 5499 per sqft,₹ 69.7 Lac,69.7,1268.0,5499.0
Chennai,Navalur,Flat,4 BHK,2343 sqft,Unfurnish,New Property,Ready to Move,₹ 5122 per sqft,₹ 1.20 Cr,120.0,2343.0,5122.0
Chennai,Old Mahabalipuram Road,Flat,3 BHK,1080 sqft,Unfurnish,New Property,Possession by Jul '24,₹ 4599 per sqft,₹ 49.7 Lac,49.7,1080.0,4599.0
Chennai,Siruseri,Flat,2 BHK,1132 sqft,Unfurnish,New Property,Possession by Apr '22,₹ 3399 per sqft,₹ 38.5 Lac,38.5,1132.0,3399.0
Chennai,Guindy,Flat,3 BHK,1590 sqft,Unfurnish,New Property,Possession by Dec '21,₹ 7499 per sqft,₹ 1.19 Cr,119.0,1590.0,7499.0
Chennai,Keelkattalai,Flat,3 BHK,1410 sqft,Unfurnish,New Property,Possession by Jun '23,₹ 6199 per sqft,₹ 87.4 Lac,87.4,1410.0,6199.0
Chennai,Medavakkam,Flat,3 BHK,1595 sqft,Unfurnish,New Property,Possession by Mar '22,₹ 5500 per sqft,₹ 87.7 Lac,87.7,1595.0,5500.0
Chennai,Kolapakkam,Flat,3 BHK,1318 sqft,Unfurnish,New Property,Possession by May '23,₹ 5500 per sqft,₹ 72.5 Lac,72.5,1318.0,5500.0
Chennai,Ambattur,Flat,3 BHK,1674 sqft,Unfurnish,New Property,Ready to Move,₹ 4808 per sqft,₹ 80.5 Lac,80.5,1674.0,4808.0
Chennai,Valasaravakkam Arcot Road,Flat,3 BHK,1513 sqft,Unfurnish,New Property,Possession by Mar '24,₹ 8215 per sqft,₹ 1.24 Cr,124.0,1513.0,8215.0
