Location,Area,Type,BHK,Sqft,Furnish,Transaction,Status,PriceperSqrt,Price,Price_Lac,Area_Sqft,Price/Sqft
Chennai,inPudupakkam,Villa,3 BHK,1727 sqft,Unfurnish,New Property,Ready to Move,₹ 5500 per sqft,₹ 95 Lac,95.0,1727.0,5500.0
Chennai,inVengaivasal Medavakkam,Villa,2 BHK,1020 sqft,Unfurnish,New Property,Ready to Move,,₹ 1.14 Cr,113.99999999999999,1020.0,11176.47
Chennai,inSholinganallur,Villa,2 BHK,1050 sqft,Unfurnish,New Property,Ready to Move,,₹ 1.40 Cr,140.0,1050.0,13333.33
Chennai,inKelambakkam Old Mahabalipuram Road,Villa,2 BHK,1270 sqft,Unfurnish,New Property,Possession by Mar '22,₹ 6259 per sqft,₹ 79.5 Lac,79.5,1270.0,6259.0
Chennai,inPerumbakkam,Villa,4 BHK,1884 sqft,Unfurnish,New Property,Possession by Dec '22,₹ 6369 per sqft,₹ 1.20 Cr,120.0,1884.0,6369.0
Chennai,inKelambakkam Old Mahabalipuram Road,Villa,4 BHK,1866 sqft,Unfurnish,New Property,Ready to Move,₹ 6162 per sqft,₹ 1.15 Cr,114.99999999999999,1866.0,6162.0
Chennai,inPorur,Villa,3 BHK,1508 sqft,Unfurnish,New Property,Ready to Move,₹ 5999 per sqft,₹ 90.5 Lac,90.5,1508.0,5999.0
Chennai,inTambaram East,Villa,3 BHK,1200 sqft,Unfurnish,New Property,Possession by Mar '22,,₹ 55 Lac,55.0,1200.0,4583.33
Chennai,inIndrapriyadarshini Nagar,Villa,2 BHK,355 sqft,Furnish,New Property,Ready to Move,,₹ 50.1 Lac,50.1,355.0,14112.68
Chennai,inGerugambakkam Chennai Bypass Road,Villa,3 BHK,1250 sqft,Furnish,Old Property,Ready to Move,₹ 4400 per sqft,₹ 55 Lac,55.0,1250.0,4400.0
Chennai,inChettipunyam,Villa,3 BHK,1074 sqft,Furnish,Old Property,Ready to Move,,₹ 55 Lac,55.0,1074.0,5121.04
Chennai,inMambakkam,Villa,2 BHK,1100 sqft,Unfurnish,New Property,Possession by Sep '22,,₹ 75 Lac,75.0,1100.0,6818.18
Chennai,inVeppampattu Chennai Tiruttani Highway,Villa,2 BHK,1200 sqft,Unfurnish,New Property,Possession by Jan '22,,₹ 34 Lac,34.0,1200.0,2833.33
Chennai,inVengaivasal Medavakkam,Villa,2 BHK,1010 sqft,Unfurnish,New Property,Possession by Feb '22,,₹ 1.14 Cr,113.99999999999999,1010.0,11287.13
Chennai,inKelambakkam Old Mahabalipuram Road,Villa,3 BHK,1333 sqft,Unfurnish,New Property,Ready to Move,,₹ 96 Lac,96.0,1333.0,7201.8
Chennai,inKelambakkam Old Mahabalipuram Road,Villa,4 BHK,1896 sqft,Unfurnish,New Property,Ready to Move,₹ 7013 per sqft,₹ 1.39 Cr,139.0,1896.0,7013.0
Chennai,inKanathur,Villa,3 BHK,1767 sqft,Furnish,Old Property,Ready to Move,₹ 6395 per sqft,₹ 1.13 Cr,112.99999999999999,1767.0,6395.0
Chennai,inSiruseri,Villa,3 BHK,1545 sqft,Unfurnish,New Property,Ready to Move,₹ 4854 per sqft,₹ 75 Lac,75.0,1545.0,4854.0
Chennai,inKovur,Villa,5 BHK,1813 sqft,Unfurnish,New Property,Ready to Move,,₹ 1.20 Cr,120.0,1813.0,6618.86
Chennai,inCBI Colony,Villa,3 BHK,2000 sqft,Unfurnish,New Property,Possession by Jan '22,₹ 5750 per sqft,₹ 1.15 Cr,114.99999999999999,2000.0,5750.0
Chennai,inUrapakkam Vandalur R F GST Road,Villa,2 BHK,757 sqft,Unfurnish,New Property,Ready to Move,,₹ 31 Lac,31.0,757.0,4095.11
Chennai,inKelambakkam Old Mahabalipuram Road,Villa,3 BHK,1376 sqft,Unfurnish,New Property,Ready to Move,₹ 5806 per sqft,₹ 79.9 Lac,79.9,1376.0,5806.0
