Location,Area,Type,BHK,Sqft,Furnish,Transaction,Status,PriceperSqrt,Price,Price_Lac,Area_Sqft,Price/Sqft
Mumbai,Barcelona in Mira Road East,Flat,2 BHK,506 sqft,Unfurnish,New Property,Possession by Jun '25,,₹ 1.05 Cr,105.0,506.0,20750.99
Mumbai,Vasanthi in Mulund East,Flat,2 BHK,547 sqft,Unfurnish,New Property,Possession by Jun '22,,₹ 1.49 Cr,149.0,547.0,27239.49
Mumbai,Towers and Plaza in Chandivali,Flat,1 BHK,366 sqft,Unfurnish,New Property,Possession by Jun '26,,₹ 100 Lac,100.0,366.0,27322.4
Mumbai,Revanta in Mulund West,Flat,2 BHK,585 sqft,Unfurnish,New Property,Possession by Mar '26,,₹ 1.51 Cr,151.0,585.0,25811.97
Mumbai,Satyam in Malad East,Flat,1 BHK,412 sqft,Unfurnish,New Property,Possession by Dec '24,,₹ 1 Cr,100.0,412.0,24271.84
Mumbai,Midtown in Chembur,Flat,2 BHK,554 sqft,Unfurnish,New Property,Possession by Dec '25,,₹ 1.31 Cr,131.0,554.0,23646.21
Mumbai,Bliss in Kurla West,Flat,2 BHK,559 sqft,Unfurnish,New Property,Possession by Mar '24,,₹ 1.58 Cr,158.0,559.0,28264.76
Mumbai,Revanta in Mulund West,Flat,2 BHK,572 sqft,Unfurnish,New Property,Possession by Sep '26,,₹ 1.13 Cr,112.99999999999999,572.0,19755.24
Mumbai,Dwarka in Ghatkopar East,Flat,1 BHK,400 sqft,Unfurnish,New Property,Possession by Jun '24,,₹ 1.18 Cr,118.0,400.0,29500.0
Mumbai,Miracle Bay in Mahim West,Flat,1 BHK,365 sqft,Furnish,New Property,Possession by Dec '27,,₹ 1.45 Cr,145.0,365.0,39726.03
Mumbai,in Borivali East,Flat,2 BHK,620 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 1.66 Cr,166.0,620.0,26774.19
Mumbai,Hills in Dahisar East,Flat,2 BHK,623 sqft,Unfurnish,New Property,Possession by Dec '26,,₹ 1.29 Cr,129.0,623.0,20706.26
Mumbai,Heritage in Crawford Market,Flat,1 BHK,388 sqft,Unfurnish,New Property,Possession by Apr '24,,₹ 1.40 Cr,140.0,388.0,36082.47
Mumbai,Barcelona in Mira Road East,Flat,1 BHK,330 sqft,Unfurnish,New Property,Possession by Jun '25,,₹ 68 Lac,68.0,330.0,20606.06
Mumbai,in Bhandup East,Flat,1 BHK,361 sqft,Unfurnish,New Property,Possession by Mar '24,,₹ 75 Lac,75.0,361.0,20775.62
Mumbai,Crest in Malad West,Flat,1 BHK,377 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 87 Lac,87.0,377.0,23076.92
Mumbai,Elitus in Mulund West,Flat,2 BHK,802 sqft,Unfurnish,New Property,Possession by Mar '26,,₹ 1.80 Cr,180.0,802.0,22443.89
Mumbai,Avenue in Vikhroli East,Flat,1 BHK,386 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 67.5 Lac,67.5,386.0,17487.05
Mumbai,Sanctuary in Mulund West,Flat,2 BHK,690 sqft,Furnish,New Property,Possession by Jun '24,,₹ 1.48 Cr,148.0,690.0,21449.28
Mumbai,Pinnacle in Mulund West,Flat,2 BHK,606 sqft,Unfurnish,New Property,Possession by Jun '26,,₹ 1.30 Cr,130.0,606.0,21452.15
Mumbai,in Mira Road,Flat,1 BHK,458 sqft,Unfurnish,New Property,Possession by Apr '22,,₹ 67.4 Lac,67.4,458.0,14716.16
Mumbai,in Mira Road,Flat,2 BHK,711 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 86 Lac,86.0,711.0,12095.64
Mumbai,Samarpan in Kandivali West,Flat,2 BHK,643 sqft,Unfurnish,New Property,Possession by Jun '22,,₹ 1.64 Cr,164.0,643.0,25505.44
Mumbai,Residency in Kurla East,Flat,2 BHK,563 sqft,Unfurnish,New Property,Possession by Mar '22,,₹ 1.26 Cr,126.0,563.0,22380.11
Mumbai,in Andheri West,Flat,1 BHK,426 sqft,Unfurnish,New Property,Possession by Feb '24,,₹ 1.38 Cr,138.0,426.0,32394.37
Mumbai,Earth in Kanjurmarg East,Flat,1 BHK,466 sqft,Unfurnish,New Property,Ready to Move,,₹ 1.21 Cr,121.0,466.0,25965.67
Mumbai,House in Goregaon East,Flat,2 BHK,593 sqft,Unfurnish,New Property,Possession by Jun '23,,₹ 1.36 Cr,136.0,593.0,22934.23
Mumbai,Virar in Virar,Flat,1 BHK,399 sqft,Unfurnish,New Property,Ready to Move,,₹ 33.9 Lac,33.9,399.0,8496.24
Mumbai,Aarna in Chembur,Flat,1 BHK,383 sqft,Furnish,New Property,Possession by Dec '22,,₹ 1.05 Cr,105.0,383.0,27415.14
Mumbai,Tower in Vasai East,Flat,1 BHK,358 sqft,Unfurnish,New Property,Possession by Dec '25,,₹ 31.5 Lac,31.5,358.0,8798.88
Mumbai,Arya in Ghatkopar West,Flat,1 BHK,443 sqft,Unfurnish,New Property,Possession by Mar '22,,₹ 1.08 Cr,108.0,443.0,24379.23
Mumbai,Baria Everest in Virar West,Flat,1 BHK,451 sqft,Unfurnish,New Property,Ready to Move,₹ 8869 per sqft,₹ 40 Lac,40.0,451.0,8869.0
Mumbai,Gardens in Bhandup West,Flat,1 BHK,498 sqft,Unfurnish,New Property,Ready to Move,,₹ 99 Lac,99.0,498.0,19879.52
Mumbai,The Park in Worli,Flat,2 BHK,890 sqft,Unfurnish,New Property,Ready to Move,,₹ 1.2 Lac,1.2,890.0,134.83
Mumbai,Heritage 2 in Jogeshwari East,Flat,2 BHK,598 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 1.43 Cr,143.0,598.0,23913.04
Mumbai,Woods in Kandivali East,Flat,2 BHK,719 sqft,Unfurnish,New Property,Possession by Dec '25,,₹ 1.69 Cr,169.0,719.0,23504.87
Mumbai,Amara in Kurla East,Flat,3 BHK,750 sqft,Unfurnish,New Property,Possession by Jul '23,,₹ 1.95 Cr,195.0,750.0,26000.0
Mumbai,in Kandivali East,Flat,1 BHK,400 sqft,Furnish,New Property,Possession by Jun '24,,₹ 95 Lac,95.0,400.0,23750.0
Mumbai,Senterio in Tilak Nagar Harbour Line,Flat,1 BHK,440 sqft,Furnish,New Property,Possession by Oct '22,,₹ 1.15 Cr,114.99999999999999,440.0,26136.36
Mumbai,Limited Edition in Mulund East,Flat,2 BHK,750 sqft,Unfurnish,New Property,Possession by Oct '24,,₹ 1.77 Cr,177.0,750.0,23600.0
Mumbai,Montana in Mulund West,Flat,2 BHK,574 sqft,Unfurnish,New Property,Possession by Dec '25,,₹ 1.61 Cr,161.0,574.0,28048.78
Mumbai,Pinnacle in Mulund West,Flat,2 BHK,612 sqft,Furnish,New Property,Possession by Dec '24,,₹ 1.32 Cr,132.0,612.0,21568.63
Mumbai,Millennia in Parel,Flat,1 BHK,411 sqft,Furnish,New Property,Possession by Dec '24,,₹ 1.39 Cr,139.0,411.0,33819.95
Mumbai,Revanta in Mulund West,Flat,2 BHK,625 sqft,Unfurnish,New Property,Possession by Dec '24,,₹ 1.45 Cr,145.0,625.0,23200.0
Mumbai,Woods in Kandivali East,Flat,2 BHK,719 sqft,Furnish,New Property,Possession by Dec '23,,₹ 1.70 Cr,170.0,719.0,23643.95
Mumbai,Millennia in Parel,Flat,1 BHK,410 sqft,Unfurnish,New Property,Possession by Dec '25,,₹ 1.11 Cr,111.00000000000001,410.0,27073.17
Mumbai,Neo Park in Bhandup West,Flat,1 BHK,285 sqft,Unfurnish,New Property,Possession by Dec '25,,₹ 48 Lac,48.0,285.0,16842.11
Mumbai,Vishnu Phase I in Dahisar East,Flat,1 BHK,394 sqft,Unfurnish,New Property,Possession by Jun '23,,₹ 65.1 Lac,65.1,394.0,16522.84
Mumbai,Residency Phase 1 in Jogeshwari East,Flat,1 BHK,435 sqft,Unfurnish,New Property,Possession by Dec '24,,₹ 82 Lac,82.0,435.0,18850.57
Mumbai,O2 in Mulund West,Flat,3 BHK,771 sqft,Unfurnish,New Property,Possession by Dec '24,,₹ 1.84 Cr,184.0,771.0,23865.11
Mumbai,Pinnacle in Mulund West,Flat,1 BHK,457 sqft,Unfurnish,New Property,Possession by Dec '24,,₹ 99 Lac,99.0,457.0,21663.02
Mumbai,in Andheri East,Flat,2 BHK,858 sqft,Unfurnish,New Property,Possession by Mar '24,,₹ 1.90 Cr,190.0,858.0,22144.52
Mumbai,53 West in Andheri West,Flat,1 BHK,455 sqft,Unfurnish,New Property,Possession by Dec '25,,₹ 1.39 Cr,139.0,455.0,30549.45
Mumbai,Stone in Vikhroli East,Flat,1 BHK,393 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 75.2 Lac,75.2,393.0,19134.86
Mumbai,IC Colony,Flat,2 BHK,700 sqft,Furnish,New Property,Possession by Dec '24,,₹ 1.60 Cr,160.0,700.0,22857.14
Mumbai,Society in Mulund West,Flat,2 BHK,700 sqft,Furnish,Old Property,Ready to Move,,₹ 1.55 Cr,155.0,700.0,22142.86
Mumbai,North in Mira Road East,Flat,1 BHK,450 sqft,Unfurnish,New Property,Ready to Move,,₹ 65 Lac,65.0,450.0,14444.44
Mumbai,Florenza in Pleasant Park,Flat,1 BHK,442 sqft,Furnish,New Property,Ready to Move,,₹ 68.3 Lac,68.3,442.0,15452.49
Mumbai,Vihar in Powai,Flat,2 BHK,640 sqft,Unfurnish,Old Property,Ready to Move,,₹ 1.60 Cr,160.0,640.0,25000.0
Mumbai,Premier in Mira Road East,Flat,2 BHK,680 sqft,Furnish,New Property,Ready to Move,,₹ 78 Lac,78.0,680.0,11470.59
Mumbai,in Vinay Nagar,Flat,2 BHK,575 sqft,Furnish,New Property,Possession by Apr '22,,₹ 83.5 Lac,83.5,575.0,14521.74
Mumbai,Hot Cake in Vinay Nagar,Flat,1 BHK,405 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 53.5 Lac,53.5,405.0,13209.88
Mumbai,Diamond Hill in Chandan Shanti,Flat,2 BHK,620 sqft,Furnish,New Property,Possession by Jun '22,,₹ 84.6 Lac,84.6,620.0,13645.16
Mumbai,Highpark in Kashimira,Flat,1 BHK,492 sqft,Furnish,New Property,Possession by Dec '23,,₹ 67 Lac,67.0,492.0,13617.89
Mumbai,Mulund East,Flat,2 BHK,700 sqft,Unfurnish,Old Property,Ready to Move,,₹ 1.60 Cr,160.0,700.0,22857.14
Mumbai,Hillcrest in Mira Road East,Flat,2 BHK,650 sqft,Furnish,New Property,Ready to Move,,₹ 76 Lac,76.0,650.0,11692.31
Mumbai,Mira Bhayandar,Flat,2 BHK,615 sqft,Unfurnish,New Property,Ready to Move,,₹ 88 Lac,88.0,615.0,14308.94
Mumbai,Ecocity in Mira Road,Flat,2 BHK,685 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 98 Lac,98.0,685.0,14306.57
Mumbai,Heights in Beverly Park,Flat,3 BHK,947 sqft,Unfurnish,New Property,Ready to Move,,₹ 99 Lac,99.0,947.0,10454.07
Mumbai,Forests in Kanjurmarg West,Flat,2 BHK,661 sqft,Furnish,New Property,Ready to Move,,₹ 1.60 Cr,160.0,661.0,24205.75
Mumbai,Mulund East,Flat,1 BHK,480 sqft,Furnish,Old Property,Ready to Move,,₹ 1.15 Cr,114.99999999999999,480.0,23958.33
Mumbai,Isle in Central Area,Flat,2 BHK,635 sqft,Unfurnish,Old Property,Ready to Move,,₹ 1.92 Cr,192.0,635.0,30236.22
Mumbai,Powai,Flat,2 BHK,750 sqft,Furnish,Old Property,Ready to Move,,₹ 1.55 Cr,155.0,750.0,20666.67
Mumbai,Borivali West,Flat,1 BHK,400 sqft,Unfurnish,Old Property,Ready to Move,,₹ 95 Lac,95.0,400.0,23750.0
Mumbai,Thane Kalyan Dombivli,Flat,2 BHK,650 sqft,Unfurnish,Old Property,Ready to Move,,₹ 59 Lac,59.0,650.0,9076.92
Mumbai,Evening Glory in Chandivali,Flat,1 BHK,385 sqft,Furnish,Old Property,Ready to Move,,₹ 1.05 Cr,105.0,385.0,27272.73
Mumbai,Shashwat in Mira Bhayandar,Flat,1 BHK,450 sqft,Unfurnish,New Property,Ready to Move,,₹ 65 Lac,65.0,450.0,14444.44
Mumbai,Ariso Apartment in Chembur,Flat,2 BHK,712 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 1.85 Cr,185.0,712.0,25983.15
Mumbai,Lokhandwala Complex,Flat,1 BHK,450 sqft,Unfurnish,Old Property,Ready to Move,,₹ 1.28 Cr,128.0,450.0,28444.44
Mumbai,in Ketki Pada,Flat,2 BHK,537 sqft,Furnish,New Property,Possession by Dec '23,,₹ 95 Lac,95.0,537.0,17690.88
Mumbai,Now Or Never in Vinay Nagar,Flat,1 BHK,302 sqft,Unfurnish,New Property,Possession by Jun '23,,₹ 47 Lac,47.0,302.0,15562.91
Mumbai,Vinay Nagar,Flat,1 BHK,360 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 55 Lac,55.0,360.0,15277.78
Mumbai,North Alexa in Mira Road,Flat,1 BHK,476 sqft,Furnish,New Property,Possession by Dec '22,,₹ 56 Lac,56.0,476.0,11764.71
Mumbai,Hot Cake in Vinay Nagar,Flat,1 BHK,405 sqft,Furnish,New Property,Possession by Dec '22,,₹ 54 Lac,54.0,405.0,13333.33
Mumbai,Oasis in Kashimira,Flat,1 BHK,540 sqft,Furnish,New Property,Possession by Dec '25,,₹ 58 Lac,58.0,540.0,10740.74
Mumbai,Diamond Hill in Beverly Park,Flat,1 BHK,440 sqft,Furnish,New Property,Possession by Mar '23,,₹ 55.2 Lac,55.2,440.0,12545.45
Mumbai,Florenza in Beverly Park,Flat,2 BHK,669 sqft,Furnish,New Property,Possession by Dec '22,,₹ 98.9 Lac,98.9,669.0,14783.26
Mumbai,Tilak Nagar Harbour Line,Flat,2 BHK,622 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 1.52 Cr,152.0,622.0,24437.3
Mumbai,Pinnacle in Mulund West,Flat,1 BHK,457 sqft,Unfurnish,New Property,Possession by Dec '26,₹ 21663 per sqft,₹ 99 Lac,99.0,457.0,21663.0
Mumbai,Gardenia in Naigaon East,Flat,2 BHK,700 sqft,Furnish,Old Property,Ready to Move,,₹ 43.7 Lac,43.7,700.0,6242.86
Mumbai,Akshay in Mira Road East,Flat,2 BHK,650 sqft,Unfurnish,New Property,Possession by Jun '23,,₹ 79.1 Lac,79.1,650.0,12169.23
Mumbai,ORO 67 in Ekta Nagar Charkop,Flat,1 BHK,417 sqft,Unfurnish,New Property,Possession by Apr '24,,₹ 88 Lac,88.0,417.0,21103.12
Mumbai,Legacy in Ramdev Park,Flat,1 BHK,470 sqft,Unfurnish,New Property,Possession by Jun '23,,₹ 57.5 Lac,57.5,470.0,12234.04
Mumbai,Residency in Vinay Nagar,Flat,1 BHK,531 sqft,Unfurnish,New Property,Possession by Dec '24,,₹ 63 Lac,63.0,531.0,11864.41
Mumbai,Pant Nagar,Flat,2 BHK,650 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 1.67 Cr,167.0,650.0,25692.31
Mumbai,North in Mira Road,Flat,2 BHK,640 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 87 Lac,87.0,640.0,13593.75
Mumbai,Highpark in Mira Road,Flat,1 BHK,405 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 65 Lac,65.0,405.0,16049.38
Mumbai,in Vinay Nagar,Flat,2 BHK,535 sqft,Furnish,New Property,Possession by Mar '22,,₹ 78 Lac,78.0,535.0,14579.44
Mumbai,Samarpan in Magathane,Flat,2 BHK,730 sqft,Unfurnish,Old Property,Ready to Move,,₹ 1.65 Cr,165.0,730.0,22602.74
Mumbai,Suburbia in Chembur,Flat,2 BHK,706 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 1.87 Cr,187.0,706.0,26487.25
Mumbai,at Runwal Forest in Kanjurmarg,Flat,2 BHK,590 sqft,Unfurnish,New Property,Possession by Jun '24,,₹ 1.39 Cr,139.0,590.0,23559.32
Mumbai,Legacy in Ramdev Park,Flat,1 BHK,400 sqft,Unfurnish,New Property,Possession by Jun '22,,₹ 57 Lac,57.0,400.0,14250.0
Mumbai,Ivana in Vinay Nagar,Flat,1 BHK,380 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 59.9 Lac,59.9,380.0,15763.16
Mumbai,Virar West,Flat,1 BHK,422 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 38 Lac,38.0,422.0,9004.74
Mumbai,Bhayandar East,Flat,1 BHK,420 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 63 Lac,63.0,420.0,15000.0
Mumbai,Pooja in Mira Road East,Flat,1 BHK,411 sqft,Furnish,New Property,Possession by Mar '22,,₹ 60 Lac,60.0,411.0,14598.54
Mumbai,Ivana in Vinay Nagar,Flat,1 BHK,450 sqft,Furnish,New Property,Possession by Dec '23,,₹ 60 Lac,60.0,450.0,13333.33
Mumbai,Bliss in Crompton Greaves,Flat,2 BHK,809 sqft,Unfurnish,New Property,Possession by Aug '22,,₹ 1.85 Cr,185.0,809.0,22867.74
Mumbai,Oasis in Vinay Nagar,Flat,2 BHK,658 sqft,Furnish,New Property,Possession by Sep '22,,₹ 80 Lac,80.0,658.0,12158.05
Mumbai,Revanta in Mulund West,Flat,2 BHK,608 sqft,Unfurnish,Old Property,Possession by Dec '25,,₹ 1.35 Cr,135.0,608.0,22203.95
Mumbai,Greenfinity in Bhakti Park,Flat,2 BHK,473 sqft,Furnish,New Property,Possession by Dec '22,,₹ 1.36 Cr,136.0,473.0,28752.64
Mumbai,Greens in Queens Park,Flat,2 BHK,813 sqft,Furnish,New Property,Possession by Dec '25,,₹ 98.6 Lac,98.6,813.0,12127.92
Mumbai,in Goregaon East,Flat,2 BHK,757 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 1.77 Cr,177.0,757.0,23381.77
Mumbai,Heights in Vasai East,Flat,1 BHK,446 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 35 Lac,35.0,446.0,7847.53
Mumbai,Park Estate in Yeshwant Nagar,Flat,2 BHK,605 sqft,Unfurnish,New Property,Possession by Jun '24,,₹ 1.46 Cr,146.0,605.0,24132.23
Mumbai,Ramdev Ritu Heights in Mira Road East,Flat,2 BHK,611 sqft,Furnish,New Property,Possession by Dec '22,,₹ 78 Lac,78.0,611.0,12765.96
Mumbai,Bella in Bhandup West,Flat,1 BHK,425 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 1.08 Cr,108.0,425.0,25411.76
Mumbai,Ecocity in Mira Road,Flat,1 BHK,455 sqft,Furnish,New Property,Possession by Dec '22,,₹ 57 Lac,57.0,455.0,12527.47
Mumbai,Ecocity in Kashimira,Flat,1 BHK,448 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 67 Lac,67.0,448.0,14955.36
Mumbai,Eastern Bay in Wadala East,Flat,2 BHK,686 sqft,Unfurnish,New Property,Possession by Mar '24,,₹ 1.70 Cr,170.0,686.0,24781.34
Mumbai,Riviera in Hiranandani Gardens,Flat,2 BHK,705 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 1.75 Cr,175.0,705.0,24822.7
Mumbai,Heights in Mulund East,Flat,2 BHK,610 sqft,Furnish,Old Property,Ready to Move,,₹ 1.60 Cr,160.0,610.0,26229.51
Mumbai,Chembur East,Flat,1 BHK,385 sqft,Unfurnish,New Property,Possession by Dec '25,,₹ 94 Lac,94.0,385.0,24415.58
Mumbai,Siddhi in Mira Road,Flat,2 BHK,594 sqft,Unfurnish,New Property,Possession by Jun '23,,₹ 76 Lac,76.0,594.0,12794.61
Mumbai,Mahatama Gandhi Road,Flat,1 BHK,440 sqft,Unfurnish,New Property,Ready to Move,,₹ 92 Lac,92.0,440.0,20909.09
Mumbai,Exotica in Mira Road,Flat,1 BHK,547 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 59 Lac,59.0,547.0,10786.11
Mumbai,Living in Rawal Pada,Flat,2 BHK,582 sqft,Furnish,New Property,Possession by Mar '25,,₹ 83 Lac,83.0,582.0,14261.17
Mumbai,Vinay Nagar,Flat,1 BHK,390 sqft,Unfurnish,New Property,Possession by Mar '23,,₹ 54.9 Lac,54.9,390.0,14076.92
Mumbai,Highpark in Mahajan Wadi,Flat,2 BHK,605 sqft,Unfurnish,New Property,Possession by Dec '24,,₹ 87.5 Lac,87.5,605.0,14462.81
Mumbai,North Euphoria in Vinay Nagar,Flat,3 BHK,950 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 1.25 Cr,125.0,950.0,13157.89
Mumbai,Arya in Ghatkopar West,Flat,1 BHK,443 sqft,Unfurnish,New Property,Possession by Mar '22,,₹ 1.03 Cr,103.0,443.0,23250.56
Mumbai,Hot Cake in Mira Road,Flat,1 BHK,400 sqft,Unfurnish,New Property,Possession by Mar '23,,₹ 59 Lac,59.0,400.0,14750.0
Mumbai,Tara in Kandivali West,Flat,3 BHK,835 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 1.85 Cr,185.0,835.0,22155.69
Mumbai,Basant Park,Flat,2 BHK,573 sqft,Furnish,New Property,Possession by Dec '23,,₹ 1.60 Cr,160.0,573.0,27923.21
Mumbai,Heights Annex in Vasai East,Flat,1 BHK,444 sqft,Unfurnish,New Property,Possession by Jun '24,,₹ 36.5 Lac,36.5,444.0,8220.72
Mumbai,Highpark in Mira Road East,Flat,1 BHK,405 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 61 Lac,61.0,405.0,15061.73
Mumbai,Morya in Chembur,Flat,1 BHK,477 sqft,Unfurnish,New Property,Possession by Jun '23,,₹ 1.37 Cr,137.0,477.0,28721.17
Mumbai,Barcelona in Mira Road East,Flat,2 BHK,656 sqft,Furnish,New Property,Possession by Dec '22,,₹ 99.8 Lac,99.8,656.0,15213.41
Mumbai,Gardenia in Mira Road,Flat,2 BHK,690 sqft,Furnish,New Property,Ready to Move,,₹ 93 Lac,93.0,690.0,13478.26
Mumbai,XL in Dhanukar Wadi,Flat,2 BHK,820 sqft,Unfurnish,New Property,Possession by Dec '25,,₹ 1.27 Cr,127.0,820.0,15487.8
Mumbai,Nova in Bhoiwada,Flat,1 BHK,374 sqft,Unfurnish,New Property,Possession by Jun '22,,₹ 1.15 Cr,114.99999999999999,374.0,30748.66
Mumbai,Zen World in Kanjurmarg East,Flat,2 BHK,750 sqft,Furnish,New Property,Possession by Nov '22,,₹ 1.54 Cr,154.0,750.0,20533.33
Mumbai,360 in Mulund West,Flat,2 BHK,750 sqft,Unfurnish,New Property,Possession by Jun '25,,₹ 1.71 Cr,171.0,750.0,22800.0
Mumbai,Residency in Kurla East,Flat,1 BHK,466 sqft,Furnish,Old Property,Ready to Move,,₹ 95 Lac,95.0,466.0,20386.27
Mumbai,Vakola,Flat,2 BHK,620 sqft,Unfurnish,Old Property,Ready to Move,,₹ 1.65 Cr,165.0,620.0,26612.9
Mumbai,Revanta in Mulund West,Flat,2 BHK,617 sqft,Unfurnish,New Property,Possession by Dec '25,,₹ 1.30 Cr,130.0,617.0,21069.69
Mumbai,Highpark in Mahajan Wadi,Flat,1 BHK,425 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 60 Lac,60.0,425.0,14117.65
Mumbai,at Runwal Forests in Kanjurmarg West,Flat,2 BHK,465 sqft,Furnish,New Property,Possession by Apr '23,,₹ 1.06 Cr,106.0,465.0,22795.7
Mumbai,Codename Open Streets in Vinay Nagar,Flat,1 BHK,470 sqft,Furnish,New Property,Possession by Jun '23,,₹ 59.5 Lac,59.5,470.0,12659.57
Mumbai,Woods in Kandivali East,Flat,2 BHK,719 sqft,Unfurnish,New Property,Possession by Dec '23,,₹ 1.74 Cr,174.0,719.0,24200.28
Mumbai,Virar West,Flat,2 BHK,512 sqft,Furnish,New Property,Possession by Dec '22,,₹ 44 Lac,44.0,512.0,8593.75
Mumbai,Ecocity in Mira Road East,Flat,1 BHK,522 sqft,Furnish,New Property,Possession by Dec '22,,₹ 69 Lac,69.0,522.0,13218.39
Mumbai,Harmony in Matunga East,Flat,2 BHK,486 sqft,Unfurnish,New Property,Possession by Nov '23,,₹ 1.69 Cr,169.0,486.0,34773.66
Mumbai,Park in Malad West,Flat,2 BHK,644 sqft,Furnish,New Property,Possession by Dec '24,,₹ 1.49 Cr,149.0,644.0,23136.65
Mumbai,Bliss in Kurla West,Flat,1 BHK,320 sqft,Unfurnish,New Property,Possession by Jan '23,,₹ 89 Lac,89.0,320.0,27812.5
Mumbai,Aspire in Malad West,Flat,1 BHK,442 sqft,Unfurnish,Old Property,Possession by May '22,,₹ 1 Cr,100.0,442.0,22624.43
Mumbai,Dwarka in Ghatkopar East,Flat,1 BHK,351 sqft,Unfurnish,New Property,Possession by Jun '22,,₹ 89.5 Lac,89.5,351.0,25498.58
