Location,Area,Type,BHK,Sqft,Furnish,Transaction,Status,PriceperSqrt,Price,Price_Lac,Area_Sqft,Price/Sqft
Mumbai,inChikhal Dongari,Villa,4 BHK,1700 sqft,Furnish,New Property,Possession by May '22,,₹ 85 Lac,85.0,1700.0,5000.0
Mumbai,inBoisar West,Villa,3 BHK,1100 sqft,Furnish,Old Property,Ready to Move,,₹ 1.05 Cr,105.0,1100.0,9545.45
Mumbai,inVasai West,Villa,4 BHK,1681 sqft,Furnish,Old Property,Ready to Move,,₹ 1.98 Cr,198.0,1681.0,11778.7
Mumbai,inGorai,Villa,2 BHK,1200 sqft,Furnish,Old Property,Ready to Move,,₹ 1.25 Cr,125.0,1200.0,10416.67
Mumbai,inCharkop Sector 6,Villa,3 BHK,1800 sqft,Unfurnish,Old Property,Ready to Move,,₹ 1.90 Cr,190.0,1800.0,10555.56
Mumbai,inMaharashtra Nagar,Villa,5 BHK,1500 sqft,Unfurnish,New Property,Ready to Move,,₹ 1.75 Cr,175.0,1500.0,11666.67
Mumbai,inGorai 1,Villa,2 BHK,700 sqft,Furnish,Old Property,Ready to Move,,₹ 1.95 Cr,195.0,700.0,27857.14
Mumbai,inVasai East,Villa,3 BHK,985 sqft,Furnish,Old Property,Ready to Move,,₹ 1.07 Cr,107.0,985.0,10862.94
Mumbai,inCharkop Sector 2,Villa,2 BHK,500 sqft,Furnish,Old Property,Ready to Move,,₹ 72 Lac,72.0,500.0,14400.0
Mumbai,inNalasopara West,Villa,3 BHK,1500 sqft,Unfurnish,New Property,Ready to Move,,₹ 70 Lac,70.0,1500.0,4666.67
Mumbai,invillas,Villa,2 BHK,810 sqft,Furnish,Old Property,Ready to Move,,₹ 65 Lac,65.0,810.0,8024.69
Mumbai,inGoregaon East,Villa,2 BHK,710 sqft,Furnish,Old Property,Ready to Move,,₹ 1.35 Cr,135.0,710.0,19014.08
Mumbai,inNaigaon East,Villa,1 BHK,1134 sqft,Unfurnish,Old Property,Ready to Move,,₹ 50 Lac,50.0,1134.0,4409.17
Mumbai,inM B Tower Virar West,Villa,3 BHK,1400 sqft,Furnish,New Property,Ready to Move,,₹ 80 Lac,80.0,1400.0,5714.29
Mumbai,inMarol Maroshi,Villa,1 BHK,350 sqft,Furnish,Old Property,Ready to Move,,₹ 43 Lac,43.0,350.0,12285.71
Mumbai,inOrange City,Villa,3 BHK,1500 sqft,Furnish,Old Property,Ready to Move,,₹ 62 Lac,62.0,1500.0,4133.33
Mumbai,inUlhasnagar,Villa,3 BHK,1400 sqft,Unfurnish,Old Property,Ready to Move,,₹ 1 Cr,100.0,1400.0,7142.86
Mumbai,inCharkop Anusaya Kandivali West,Villa,1 BHK,900 sqft,Furnish,New Property,Ready to Move,,₹ 67 Lac,67.0,900.0,7444.44
Mumbai,inGorai 1,Villa,1 BHK,300 sqft,Unfurnish,Old Property,Ready to Move,₹ 20500 per sqft,₹ 61.5 Lac,61.5,300.0,20500.0
Mumbai,inBoisar West,Villa,2 BHK,1455 sqft,Unfurnish,New Property,Possession by Jan '23,,₹ 68 Lac,68.0,1455.0,4673.54
Mumbai,inVile Parle East,Villa,1 BHK,350 sqft,Unfurnish,Old Property,Ready to Move,₹ 15714 per sqft,₹ 55 Lac,55.0,350.0,15714.0
Mumbai,inBolinj,Villa,4 BHK,2500 sqft,Furnish,Old Property,Ready to Move,₹ 5800 per sqft,₹ 1.45 Cr,145.0,2500.0,5800.0
Mumbai,inPushpa Park,Villa,1 BHK,200 sqft,Unfurnish,Old Property,Ready to Move,,₹ 36 Lac,36.0,200.0,18000.0
Mumbai,inMadh Village,Villa,5 BHK,1080 sqft,Unfurnish,Old Property,Ready to Move,₹ 4630 per sqft,₹ 50 Lac,50.0,1080.0,4630.0
Mumbai,inKurar Village,Villa,1 BHK,235 sqft,Unfurnish,Old Property,Ready to Move,₹ 9362 per sqft,₹ 22 Lac,22.0,235.0,9362.0
