Location,Area,Type,BHK,Furnish,Transaction,Status,Price_Lac,Area_Sqft,Price/Sqft
Chennai,Perambur,Flat,2.0,Unfurnish,New Property,Dec 2021,90.0,1100.0,8182.0
Chennai,Thirumazhisai,Flat,1.0,Unfurnish,New Property,Dec 2023,29.7,544.0,5450.0
Chennai,Perumbakkam,Flat,2.0,Furnish,New Property,Sep 2023,28.6,796.0,3599.0
Chennai,Thalambur,Flat,2.0,Unfurnish,New Property,Mar 2024,48.5,1026.0,4724.0
Chennai,Perungalathur Chennai Bypass Road,Flat,2.0,Unfurnish,New Property,Jul 2022,44.0,903.0,4877.0
Chennai,Sembakkam,Flat,3.0,Unfurnish,New Property,Jul 2022,104.0,1550.0,6749.0
Chennai,G S T Road,Flat,2.0,Unfurnish,New Property,Dec 2021,78.7,1455.0,5407.0
Chennai,Tambaram East,Flat,2.0,Unfurnish,New Property,Sep 2022,71.3,1004.0,7100.0
Chennai,Medavakkam,Flat,3.0,Unfurnish,New Property,Nov 2022,90.2,1280.0,7049.0
Chennai,Padur Old Mahabalipuram Road,Flat,3.0,Unfurnish,New Property,Mar 2023,44.6,918.0,4855.0
Chennai,Sholinganallur,Flat,2.0,Unfurnish,New Property,Sep 2024,64.3,1064.0,6042.0
Chennai,Thoraipakkam,Flat,2.0,Unfurnish,New Property,Dec 2021,103.0,1291.0,8000.0
Chennai,Vanagaram,Flat,3.0,Unfurnish,New Property,Feb 2024,91.7,1528.0,5999.0
Chennai,Kottivakkam,Flat,3.0,Unfurnish,New Property,Dec 2021,101.0,1271.0,7999.0
Chennai,Siruseri,Flat,3.0,Unfurnish,New Property,Dec 2021,85.0,1685.0,5045.0
Chennai,Siruseri,Flat,1.0,Unfurnish,New Property,Dec 2022,21.9,495.0,4433.0
Chennai,Thoraipakkam,Flat,2.0,Unfurnish,New Property,Dec 2021,81.3,1452.0,5599.0
Chennai,Mogappair West,Flat,2.0,Unfurnish,New Property,Dec 2024,89.0,1288.0,6910.0
Chennai,Saligramam,Flat,2.0,Unfurnish,New Property,Jun 2022,94.5,945.0,9999.0
Chennai,Nerkundram Koyambedu,Flat,2.0,Unfurnish,New Property,Apr 2022,80.7,1241.0,6499.0
Chennai,Porur,Flat,3.0,Unfurnish,New Property,Dec 2023,69.7,1268.0,5499.0
Chennai,Navalur,Flat,4.0,Unfurnish,New Property,Dec 2021,120.0,2343.0,5122.0
Chennai,Old Mahabalipuram Road,Flat,3.0,Unfurnish,New Property,Jul 2024,49.7,1080.0,4599.0
Chennai,Siruseri,Flat,2.0,Unfurnish,New Property,Apr 2022,38.5,1132.0,3399.0
Chennai,Guindy,Flat,3.0,Unfurnish,New Property,Dec 2021,119.0,1590.0,7499.0
Chennai,Keelkattalai,Flat,3.0,Unfurnish,New Property,Jun 2023,87.4,1410.0,6199.0
Chennai,Medavakkam,Flat,3.0,Unfurnish,New Property,Mar 2022,87.7,1595.0,5500.0
Chennai,Kolapakkam,Flat,3.0,Unfurnish,New Property,May 2023,72.5,1318.0,5500.0
Chennai,Ambattur,Flat,3.0,Unfurnish,New Property,Dec 2021,80.5,1674.0,4808.0
Chennai,Valasaravakkam Arcot Road,Flat,3.0,Unfurnish,New Property,Mar 2024,124.0,1513.0,8215.0
Chennai,Madipakkam,Flat,2.0,Unfurnish,New Property,Dec 2021,33.9,754.0,4500.0
Chennai,Anakaputhur,Flat,1.0,Unfurnish,New Property,Dec 2022,22.3,445.0,5000.0
Chennai,Virugambakkam,Flat,3.0,Unfurnish,New Property,Dec 2021,119.0,1190.0,10000.0
Chennai,Chromepet GST Road,Flat,3.0,Unfurnish,New Property,Dec 2021,61.7,1470.0,4195.0
Chennai,Chromepet GST Road,Flat,3.0,Unfurnish,New Property,Aug 2022,72.6,1153.0,6300.0
Chennai,Kelambakkam Old Mahabalipuram Road,Flat,2.0,Unfurnish,New Property,Dec 2021,48.4,1274.0,3799.0
Chennai,Porur,Flat,2.0,Unfurnish,New Property,Dec 2021,59.3,1078.0,5500.0
Chennai,Gerugambakkam Chennai Bypass Road,Flat,3.0,Unfurnish,New Property,Jun 2022,66.6,1480.0,4500.0
Chennai,Ambattur,Flat,3.0,Unfurnish,New Property,Mar 2022,63.2,1345.0,4699.0
Chennai,Mogappair West,Flat,3.0,Unfurnish,New Property,Dec 2024,143.0,1878.0,7614.0
Chennai,Perambur,Flat,2.0,Unfurnish,New Property,Dec 2021,40.8,741.0,5500.0
Chennai,Pallavaram,Flat,2.0,Unfurnish,New Property,Dec 2021,62.8,1064.0,5899.0
Chennai,Sholinganallur,Flat,3.0,Unfurnish,New Property,Dec 2021,75.6,1410.0,5362.0
Chennai,Perumbakkam,Flat,2.0,Unfurnish,New Property,Dec 2021,34.6,989.0,3499.0
Chennai,Pallavaram,Flat,2.0,Unfurnish,New Property,Feb 2022,72.8,807.0,9021.07
Chennai,Perungudi,Flat,3.0,Unfurnish,New Property,Jun 2023,128.0,1723.0,7450.0
Chennai,Medavakkam,Flat,2.0,Unfurnish,New Property,Jun 2023,47.7,742.0,6428.57
Chennai,Medavakkam,Flat,3.0,Unfurnish,New Property,Jun 2022,57.8,1314.0,4399.0
Chennai,Valasaravakkam Arcot Road,Flat,2.0,Unfurnish,New Property,Apr 2022,71.8,921.0,7799.0
Chennai,Padur Old Mahabalipuram Road,Flat,3.0,Unfurnish,New Property,Mar 2023,43.0,918.0,4684.0
Chennai,Chitlapakkam,Flat,3.0,Unfurnish,New Property,Dec 2021,72.6,1252.0,5800.0
