Location,Area,Type,BHK,Sqft,Furnish,Transaction,Status,PriceperSqrt,Price
Chennai,Perambur,Flat,2 BHK,1100 sqft,Unfurnish,New Property,Possession by Dec '21,₹ 8182 per sqft,₹ 90 Lac
Chennai,Thirumazhisai,Flat,1 BHK,544 sqft,Unfurnish,New Property,Possession by Dec '23,₹ 5450 per sqft,₹ 29.7 Lac
Chennai,Perumbakkam,Flat,2 BHK,796 sqft,Furnish,New Property,Possession by Sep '23,₹ 3599 per sqft,₹ 28.6 Lac
Chennai,Thalambur,Flat,2 BHK,1026 sqft,Unfurnish,New Property,Possession by Mar '24,₹ 4724 per sqft,₹ 48.5 Lac
Chennai,Perungalathur Chennai Bypass Road,Flat,2 BHK,903 sqft,Unfurnish,New Property,Possession by Jul '22,₹ 4877 per sqft,₹ 44 Lac
Chennai,Sembakkam,Flat,3 BHK,1550 sqft,Unfurnish,New Property,Possession by Jul '22,₹ 6749 per sqft,₹ 1.04 Cr
Chennai,G S T Road,Flat,2 BHK,1455 sqft,Unfurnish,New Property,Possession by Dec '21,₹ 5407 per sqft,₹ 78.7 Lac
Chennai,Tambaram East,Flat,2 BHK,1004 sqft,Unfurnish,New Property,Possession by Sep '22,₹ 7100 per sqft,₹ 71.3 Lac
Chennai,Medavakkam,Flat,3 BHK,1280 sqft,Unfurnish,New Property,Possession by Nov '22,₹ 7049 per sqft,₹ 90.2 Lac
Chennai,Padur Old Mahabalipuram Road,Flat,3 BHK,918 sqft,Unfurnish,New Property,Possession by Mar '23,₹ 4855 per sqft,₹ 44.6 Lac
Chennai,Sholinganallur,Flat,2 BHK,1064 sqft,Unfurnish,New Property,Possession by Sep '24,₹ 6042 per sqft,₹ 64.3 Lac
Chennai,Thoraipakkam,Flat,2 BHK,1291 sqft,Unfurnish,New Property,Ready to Move,₹ 8000 per sqft,₹ 1.03 Cr
Chennai,Vanagaram,Flat,3 BHK,1528 sqft,Unfurnish,New Property,Possession by Feb '24,₹ 5999 per sqft,₹ 91.7 Lac
Chennai,Kottivakkam,Flat,3 BHK,1271 sqft,Unfurnish,New Property,Possession by Dec '21,₹ 7999 per sqft,₹ 1.01 Cr
Chennai,Siruseri,Flat,3 BHK,1685 sqft,Unfurnish,New Property,Ready to Move,₹ 5045 per sqft,₹ 85 Lac
Chennai,Siruseri,Flat,1 BHK,495 sqft,Unfurnish,New Property,Possession by Dec '22,₹ 4433 per sqft,₹ 21.9 Lac
Chennai,Unknown,,0 BHK,228 sqft,Unfurnish,New Property,Possession by Dec '23,₹ 6711 per sqft,₹ 15.3 Lac
Chennai,Thoraipakkam,Flat,2 BHK,1452 sqft,Unfurnish,New Property,Ready to Move,₹ 5599 per sqft,₹ 81.3 Lac
Chennai,Mogappair West,Flat,2 BHK,1288 sqft,Unfurnish,New Property,Possession by Dec '24,₹ 6910 per sqft,₹ 89 Lac
Chennai,Saligramam,Flat,2 BHK,945 sqft,Unfurnish,New Property,Possession by Jun '22,₹ 9999 per sqft,₹ 94.5 Lac
Chennai,Nerkundram Koyambedu,Flat,2 BHK,1241 sqft,Unfurnish,New Property,Possession by Apr '22,₹ 6499 per sqft,₹ 80.7 Lac
Chennai,Porur,Flat,3 BHK,1268 sqft,Unfurnish,New Property,Possession by Dec '23,₹ 5499 per sqft,₹ 69.7 Lac
Chennai,Navalur,Flat,4 BHK,2343 sqft,Unfurnish,New Property,Ready to Move,₹ 5122 per sqft,₹ 1.20 Cr
Chennai,Old Mahabalipuram Road,Flat,3 BHK,1080 sqft,Unfurnish,New Property,Possession by Jul '24,₹ 4599 per sqft,₹ 49.7 Lac
Chennai,Siruseri,Flat,2 BHK,1132 sqft,Unfurnish,New Property,Possession by Apr '22,₹ 3399 per sqft,₹ 38.5 Lac
Chennai,Guindy,Flat,3 BHK,1590 sqft,Unfurnish,New Property,Possession by Dec '21,₹ 7499 per sqft,₹ 1.19 Cr
Chennai,Keelkattalai,Flat,3 BHK,1410 sqft,Unfurnish,New Property,Possession by Jun '23,₹ 6199 per sqft,₹ 87.4 Lac
Chennai,Medavakkam,Flat,3 BHK,1595 sqft,Unfurnish,New Property,Possession by Mar '22,₹ 5500 per sqft,₹ 87.7 Lac
Chennai,Kolapakkam,Flat,3 BHK,1318 sqft,Unfurnish,New Property,Possession by May '23,₹ 5500 per sqft,₹ 72.5 Lac
Chennai,Ambattur,Flat,3 BHK,1674 sqft,Unfurnish,New Property,Ready to Move,₹ 4808 per sqft,₹ 80.5 Lac
Chennai,Valasaravakkam Arcot Road,Flat,3 BHK,1513 sqft,Unfurnish,New Property,Possession by Mar '24,₹ 8215 per sqft,₹ 1.24 Cr
Chennai,Madipakkam,Flat,2 BHK,754 sqft,Unfurnish,New Property,Ready to Move,₹ 4500 per sqft,₹ 33.9 Lac
Chennai,Anakaputhur,Flat,1 BHK,445 sqft,Unfurnish,New Property,Possession by Dec '22,₹ 5000 per sqft,₹ 22.3 Lac
Chennai,Virugambakkam,Flat,3 BHK,1190 sqft,Unfurnish,New Property,Ready to Move,₹ 10000 per sqft,₹ 1.19 Cr
Chennai,Chromepet GST Road,Flat,3 BHK,1470 sqft,Unfurnish,New Property,Ready to Move,₹ 4195 per sqft,₹ 61.7 Lac
Chennai,Chromepet GST Road,Flat,3 BHK,1153 sqft,Unfurnish,New Property,Possession by Aug '22,₹ 6300 per sqft,₹ 72.6 Lac
Chennai,Kelambakkam Old Mahabalipuram Road,Flat,2 BHK,1274 sqft,Unfurnish,New Property,Ready to Move,₹ 3799 per sqft,₹ 48.4 Lac
Chennai,Porur,Flat,2 BHK,1078 sqft,Unfurnish,New Property,Ready to Move,₹ 5500 per sqft,₹ 59.3 Lac
Chennai,Gerugambakkam Chennai Bypass Road,Flat,3 BHK,1480 sqft,Unfurnish,New Property,Possession by Jun '22,₹ 4500 per sqft,₹ 66.6 Lac
Chennai,Ambattur,Flat,3 BHK,1345 sqft,Unfurnish,New Property,Possession by Mar '22,₹ 4699 per sqft,₹ 63.2 Lac
Chennai,Mogappair West,Flat,3 BHK,1878 sqft,Unfurnish,New Property,Possession by Dec '24,₹ 7614 per sqft,₹ 1.43 Cr
Chennai,Perambur,Flat,2 BHK,741 sqft,Unfurnish,New Property,Possession by Dec '21,₹ 5500 per sqft,₹ 40.8 Lac
Chennai,Pallavaram,Flat,2 BHK,1064 sqft,Unfurnish,New Property,Possession by Dec '21,₹ 5899 per sqft,₹ 62.8 Lac
Chennai,Sholinganallur,Flat,3 BHK,1410 sqft,Unfurnish,New Property,Ready to Move,₹ 5362 per sqft,₹ 75.6 Lac
Chennai,Perumbakkam,Flat,2 BHK,989 sqft,Unfurnish,New Property,Ready to Move,₹ 3499 per sqft,₹ 34.6 Lac
Chennai,Pallavaram,Flat,2 BHK,807 sqft,Unfurnish,New Property,Possession by Feb '22,,₹ 72.8 Lac
Chennai,Perungudi,Flat,3 BHK,1723 sqft,Unfurnish,New Property,Possession by Jun '23,₹ 7450 per sqft,₹ 1.28 Cr
Chennai,Medavakkam,Flat,2 BHK,742 sqft,Unfurnish,New Property,Possession by Jun '23,,₹ 47.7 Lac
Chennai,Medavakkam,Flat,3 BHK,1314 sqft,Unfurnish,New Property,Possession by Jun '22,₹ 4399 per sqft,₹ 57.8 Lac
Chennai,Valasaravakkam Arcot Road,Flat,2 BHK,921 sqft,Unfurnish,New Property,Possession by Apr '22,₹ 7799 per sqft,₹ 71.8 Lac
Chennai,Padur Old Mahabalipuram Road,Flat,3 BHK,918 sqft,Unfurnish,New Property,Possession by Mar '23,₹ 4684 per sqft,₹ 43 Lac
Chennai,Chitlapakkam,Flat,3 BHK,1252 sqft,Unfurnish,New Property,Ready to Move,₹ 5800 per sqft,₹ 72.6 Lac
Chennai,Kattupakkam PH Road,Flat,3 BHK,1473 sqft,Unfurnish,New Property,Ready to Move,₹ 5499 per sqft,₹ 81 Lac
Chennai,Thoraipakkam,Flat,1 BHK,569 sqft,Unfurnish,New Property,Ready to Move,₹ 7000 per sqft,₹ 39.8 Lac
Chennai,Perumbakkam,Flat,2 BHK,849 sqft,Unfurnish,New Property,Possession by Dec '22,₹ 3750 per sqft,₹ 31.8 Lac
Chennai,Pallavaram,Flat,2 BHK,1122 sqft,Unfurnish,New Property,Ready to Move,₹ 7201 per sqft,₹ 80.8 Lac
Chennai,Korattur Jawaharlal Nehru Road,Flat,2 BHK,1085 sqft,Unfurnish,New Property,Ready to Move,,₹ 87 Lac
Chennai,Perungudi,Flat,1 BHK,393 sqft,Unfurnish,New Property,Possession by Jul '23,,₹ 52.3 Lac
Chennai,Navalur,Flat,3 BHK,1103 sqft,Unfurnish,New Property,Ready to Move,,₹ 82 Lac
Chennai,Thoraipakkam,Flat,2 BHK,1100 sqft,Unfurnish,Old Property,Ready to Move,,₹ 72 Lac
Chennai,Sholinganallur,Flat,2 BHK,1237 sqft,Unfurnish,New Property,Ready to Move,₹ 7033 per sqft,₹ 87 Lac
Chennai,Adambakkam,Flat,1 BHK,455 sqft,Furnish,New Property,Ready to Move,,₹ 43 Lac
Chennai,Perumbakkam,Flat,2 BHK,1489 sqft,Unfurnish,Old Property,Ready to Move,₹ 4164 per sqft,₹ 62 Lac
Chennai,Mahindra World City,Flat,2 BHK,612 sqft,Furnish,Old Property,Ready to Move,,₹ 33 Lac
Chennai,Mahabalipuram,Flat,2 BHK,1140 sqft,Furnish,Old Property,Ready to Move,₹ 10964 per sqft,₹ 1.25 Cr
Chennai,Kelambakkam Old Mahabalipuram Road,Flat,2 BHK,994 sqft,Unfurnish,New Property,Possession by Mar '22,₹ 3999 per sqft,₹ 39.8 Lac
Chennai,Kovilambakkam,Flat,2 BHK,691 sqft,Unfurnish,New Property,Possession by Jan '22,,₹ 61.4 Lac
Chennai,Poonamalle,Flat,4 BHK,1710 sqft,Unfurnish,New Property,Ready to Move,₹ 4433 per sqft,₹ 75.8 Lac
